id,reference,tier,machine_uid,machine_model,controller,setting,process,dataset,doi,host,license,license_flag,native_signals,canonical_channels,new_channels,actions,regime,sampling_hz,timestamps_real,usable_hours,windows_1hz,windows_10hz,independent_units,outcomes,format,size_gb,leakage_vs_v1_datasets,lv_overlap,lv_actions,lv_regime,lv_windows,lv_units,lv_outcomes,lv_licence,lv_provenance,lv_integration,role_fit,score_S,score_T,score_A,score_P,evidence,confidence,verified_on,note
"R11","Kim et al. 2026 · Hurco VM20i","1","Purdue-HurcoVM20i","Hurco VM20i (3-axis)","Hurco WinMax + MTConnect","lab","milling","Purdue MSM multi-sensor + MTConnect (imi_vm20i)","10.34740/kaggle/ds/8392825","Kaggle","CC BY 4.0","green","MTConnect ≈1 s: spindle speed, override, axis load, tool number, axis position, machine state; power meter (W, main line); sound 48 kHz; accelerometers 51.2 kHz","0","axis load %, machine power, override","spindle speed + override; feed derivable from positions","lab plan: several feeds, depths, widths, up/down milling, 3 materials","≈1 (MTConnect)","yes","3.27","yes (≈3 h)","no (1 s updates)","n.d. (experiment units in label.csv)","normal / abnormal / tool defect labels","CSV, WAV, NC, video","n.d.","unseen machine","1","2","2","2","1","2","3","3","2","S","1.90","1.70","2.00","1.95","S15","paper","2026-09-16","MTConnect axis load % is semantically close to the Sinumerik LOAD address (JOANNEUM and KIT exports). It is a candidate shared new channel, not a current."
"R12","Kim et al. 2026 · Hurco VMX30Ui","1","Purdue-HurcoVMX30Ui","Hurco VMX30Ui (5-axis)","Hurco WinMax + MTConnect","lab","milling","Purdue MSM (imi_vmx30ui)","10.34740/kaggle/ds/8392825","Kaggle","CC BY 4.0","green","as Kim et al. (2026, Hurco VM20i) (no accelerometers on this machine)","0","axis load %, machine power","spindle speed + override; feed derivable","lab plan as Kim et al. (2026, Hurco VM20i)","≈1","yes","1.62","yes (≈1.6 h)","no","n.d.","labels","CSV, WAV","n.d.","unseen machine","1","2","2","2","1","2","3","3","2","S","1.90","1.70","2.00","1.95","S15","paper","2026-09-16","5-axis Hurco."
"R13","Kim et al. 2026 · Haas VF-10","1","Purdue-HaasVF10","Haas VF-10 (3-axis, production)","Haas NGC + MTConnect adapter","industry (TMF Center)","milling","Purdue MSM (tmf_vf10)","10.34740/kaggle/ds/8392825","Kaggle","CC BY 4.0","green","MTConnect ≈1 s (spindle speed, load, position, state); current transformer on first power line at 0.1 Hz; sound","0","axis load %, line current","spindle speed; feed derivable","production (observational)","≈1","yes","3.31","yes (≈3.3 h)","no","n.d.","labels (97.5 % normal)","CSV, WAV","n.d.","unseen machine","1","2","1","2","1","2","3","3","2","S","1.90","1.70","1.65","1.80","S15","paper","2026-09-16","Real production data; actions are confounded with part geometry."
"R14","Sun n.d.","1","Michigan-SMART-mill","CNC mill, SMART testbed (model n.d.)","n.d. (Rockwell Cloud Collector Agent)","lab","milling (wax)","CNC Mill Tool Wear (University of Michigan)","kaggle:shasun/tool-wear-detection-in-cnc-mill","Kaggle","CC0 (Public Domain)","green","X1/Y1/Z1/S1 actual and commanded position, velocity, acceleration; CurrentFeedback, DCBusVoltage, OutputCurrent, OutputVoltage, OutputPower; program, sequence, feedrate, machining process","7","output voltage, acceleration","direct (CommandVelocity per axis and spindle)","designed: feed rate × clamp pressure (2.5/3.0/4.0 bar) × tool condition","10","yes","≈0.6 (18 × 46-233 s)","few","yes","18 experiments","tool worn/unworn, passed visual inspection, completed","CSV","0.012","unseen machine","3","3","3","1","3","2","3","1","3","S? T? A","2.40","2.60","2.80","2.65","S16 S17","repository (Kaggle API)","2026-09-16","Cleanest action bench (commanded velocities + designed feed). Weak points: wax (low loads), short runs, known faulty readings flagged by the authors."
"R15","Schmitt & Engelmann 2024","1","THWS-HermleC600U","HERMLE C600 U (5-axis, contract manufacturer)","Heidenhain iTNC 530","industry (Pabst Komponentenfertigung)","milling","THWS series production data set for 5-axis CNC milling","10.5281/zenodo.10853254","Zenodo","CC BY 4.0","green","20 NC features; verified subset: ProgramStatus, ToolNumber, PocketTable, DriveStatus, door status, OverrideFeed, FeedRate, SpindleSpeed","0","status, override","FeedRate (path) + SpindleSpeed","series production (observational), 13 series with changeovers","n.d.","yes","n.d.","n.d.","n.d.","13 production series","up to 23 phase labels","CSV","0.02","different machine from the THWS source (lab Spinner U5-620)","0","2","1","1","2","1","3","3","3","—","1.50","1.60","1.40","1.60","S18 S19","repository + paper","2026-09-16","Not the THWS source machine, which corrects the plan hypothesis. 12 of the 20 features are unverified (MDPI blocked, Zenodo down on 2026-09-16)."
"R16","Abdul Hadi 2021","1","JOANNEUM-SpinnerU5-630","Spinner U5-630 (FH JOANNEUM, V1 target machine)","Siemens 840D sl v4.8 + Simatic IPC227E","lab","milling","HF-dataset from Edge Device (2021)","10.17632/w35nf2fw5m.1","Mendeley Data","CC BY 4.0","green","verified header: DES_POS, TORQUE, LOAD, ENC1/ENC2/ENC_POS, CMD_SPEED, CTRL_DIFF, CTRL_DIFF2, CURRENT, POWER for X1, Y1, Z1, B1, SP1, C1, MAG1 (78 fields per row)","10","load %, positions, following error","direct (CMD_SPEED)","12 spindle-power input levels (2.5-20 kW) at fixed 10,000 rpm; 2 parts","500","probe counter","≈1.3 (estimate: 23 files × ≈200 s, from file size and row width)","yes (≈150 per file, estimate)","yes","23 experiments","energy","JSON","1.5","same machine as the V1 target (Brillinger et al., 2025)","3","3","2","2","3","2","3","3","2","S A?","2.70","2.90","2.55","2.50","S20 S21 S04","sample header (verified)","2026-09-16","Adds 23 never-read runs to the JOANNEUM machine. Not a new machine, but lifts it from 7 to 30+ units for adaptation and action tests."
"R17","Wuwer & Brillinger 2021","1","JOANNEUM-SpinnerU5-630","Spinner U5-630 (FH JOANNEUM, V1 target machine)","NCU (Sinumerik 840D sl)","lab","milling","Energy consumption for a CNC machining process (2021)","10.17632/7cghj7fffp.1","Mendeley Data","CC BY 4.0","green","raw NCU JSON (partA, partB) + NC-line/energy matched CSV","10","NC line","direct (NCU, as Abdul Hadi (2021))","2 parts","n.d. (NCU raw)","yes","n.d.","n.d.","n.d.","2 parts","energy per NC line","JSON, CSV","0.40","same machine as the V1 target (Brillinger et al., 2025)","2","2","1","1","0","2","3","2","2","S?","1.90","1.50","1.70","1.65","S22 S21 S04","repository","2026-09-16","Same machine as the JOANNEUM target per its 2025 data paper. Channel count assumed from the same NCU export (not re-verified)."
"R18","Peralta Abadia et al. 2025","1","MU-LagunL1000","LAGUN L1000 (vertical machining centre)","Fagor CNC 8065","lab","face milling","MU-TCM face-milling dataset","10.48764/3hdp-gf23","Mondragon eBiltegia","CC BY 4.0","green","16 internal signals at 250 Hz: SREAL, FREAL, TV50 (spindle power kW), TV51, CV3_S/X/Y/Z (RMS current), TV2_S/X/Y/Z (torque), POS; forces, vibration at 50 kHz; AE at 1 MHz","9","actual feed, positions","actual speed/feed + designed setpoints","designed: vc 50/100/200 m/min × f 0.05-0.2 mm/rev × VB 0-0.3 mm × 2 materials","250","yes","short","0 (4-36 s cutting per test)","yes","32 experiments","flank wear VB (measured)","MAT, CSV","n.d.","unseen machine; new controller brand","3","2","3","0","3","3","3","3","2","A P","2.10","2.50","2.45","2.75","S23","paper","2026-09-16","Nine of the ten transfer channels on a Fagor controller with a clean speed × feed plan, but no 48 s window at 1 Hz. Usable only on a ≥10 Hz grid."
"R19","Duo et al. 2019","1","MU-Lagun-VMC","Lagun vertical machining centre (model n.d.)","n.d.","lab","drilling","Drilling test data from new and worn bits","10.48764/myma-ys63","Mondragon eBiltegia","CC BY 4.0","green","internal machine signals + thrust force + cutting torque at 250 Hz","0","n.d.","fixed per geometry","fixed cutting conditions; wear varies","250","yes","short","0 (one hole per file)","n.d.","90 holes","tool wear level","CSV","n.d.","possibly same machine family as Peralta Abadia et al. (2025)","1","1","0","0","3","3","3","2","3","P","1.30","1.70","0.85","2.05","S24","repository","2026-09-16","Internal signal names not listed in the record."
"R20","Vicomtech n.d.","1","MU-lathe","CNC lathe (model n.d., Mondragon facilities)","n.d.","lab","turning","Vicomtech machine tool wear dataset","github:Vicomtech/dataset-machine-tool-wear","GitHub","CC BY-SA 4.0","amber","AE, 2 triaxial accelerometers, forces, spindle and X-axis motor currents and voltages, power, torque, encoder speed, programmed feed","3","motor voltage","programmed feed + spindle speed","13 tools","n.d.","n.d.","0.57 (2,054 × 1 s)","0 (1 s segments)","n.d.","13 tools","remaining useful life","table (segments)","0.001","unseen machine","2","2","1","0","2","3","2","2","3","P","1.70","1.80","1.45","2.20","S25","repository","2026-09-16","Distributed as 1 s segments (1.4 MB repository), so G2 is doubtful: these look like segment features, not raw series."
"R21","Dreyer et al. 2026","1","HESSO-Micro5","Micro5 (5-axis micro machine, <10 kg moving mass)","ISG kernel (kinematics type 57)","lab","micro milling","Machining quality prediction (AE, accelerometers, axis currents)","10.5281/zenodo.6505073","Zenodo","CC BY-NC-ND 4.0","amber","axis currents X, Y, Z, B, C + spindle at 1 kHz; AE 100 kHz; 8 accelerometers 2 kHz","4","B/C currents","n.d. (spindle 33,000 rpm)","milling direction, stair count, lubrication","1000","yes","n.d.","n.d.","n.d.","6 experiments","machining quality","n.d.","n.d.","unseen machine","2","1","1","1","1","3","1","2","2","P","1.50","1.35","1.15","1.70","S26","paper","2026-09-16","NC-ND licence; micro-scale dynamics far from Martinez et al. (2025)."
"R22","Sáinz de la Maza et al. 2025","1","CFAA-large-RLLLR","Large 5-axis machining centre, RLLLR (84 kW head, C table), model n.d.","Siemens SINUMERIK 840D sl","research centre (CFAA)","axes heating tests","Large scale machine tool axes heating data","10.5281/zenodo.16579804","Zenodo","CC BY 4.0","green","1 Hz internal CNC variables for X, Y, Z, A, C and spindle: PositionActual, Speed, Load %, Power kW, Intensity A, Temperature °C; ControllerMode, ExecutionState; plus 49 thermocouples + 14 deformation sensors","10","load %, A/C axes","derivable (actual speeds, positions)","programmed heating cycles (details n.d.)","1","yes (ISO + epoch)","n.d. (3 non-continuous days)","likely many (1 Hz native)","no","3 days","thermal deformation (IDS), temperatures","XLSX","n.d.","unseen machine","3","2","1","2","1","3","3","2","3","S P","2.50","2.10","1.95","2.15","S27","repository (full description)","2026-09-16","Only candidate that carries the motor temperatures the THWS source has and the JOANNEUM target lacks, natively at 1 Hz. Few independent units."
"R23","Dominguez Caballero et al. 2023","1","Sheffield-DMU40eVo","DMG Mori DMU 40 eVo linear (5-axis)","n.d.","lab (AMRC)","milling + fingerprint routine","Sensor signals for machine tool and process health assessment","10.15131/shef.data.24125715.v1","ORDA (figshare)","CC BY 4.0","green","n.d. in record (16 segmented MAT files, 26 GB)","0","n.d.","feed and spindle override reductions (6-10 %) in the fingerprint routine","interventions: heavy/unbalanced tool, override, misalignment, cracks, wear; spindle 5,000 / 12,000 rpm","n.d.","n.d.","n.d.","n.d.","n.d.","24 workpieces + routine repeats","fault class labels","MAT","26.2","unseen machine","0","1","2","1","3","2","3","2","1","—","1.00","1.55","1.50","2.00","S28 S62","repository","2026-09-16","Deliberate interventions on a fingerprint routine are rare and valuable, but the signal list must be read from Readme.txt (not downloaded)."
"R24","Piecuch & Żabiński 2025","1","Rzeszow-HaasVF1","Haas VF-1 (3-axis)","Haas + Beckhoff C6920 acquisition","lab","milling","Open milling dataset for tool life (Rzeszów)","10.6084/m9.figshare.28589216","figshare + Kaggle","CC BY 4.0","green","12 current transformers (spindle L1-L3; X/Y/Z axes L1-L3) at 0.5 kHz; 8 accelerometers at 25 kHz (header of the features file verified)","4","phase currents (external CT)","cycle metadata only (ADOC, RDOC)","ADOC 5/10 mm × RDOC 4.5/8 mm, optimal and non-optimal","500 (currents)","yes","n.d.","n.d.","n.d.","14 tools, 968 cycles","tool life to failure","CSV (25.3 GB zip) + features CSV","25.3","unseen machine","2","1","2","1","2","3","3","3","1","P","1.70","1.90","1.80","2.20","S29","sample header (features file)","2026-09-16","External CT phase currents are equivalent to drive currents only after an RMS transform, and that equivalence must be audited. The features file holds per-cycle aggregates."
"R25","Li et al. 2024","2","JUST-DX650","DX-650 high-speed CNC mill","n.d.","lab","milling","JUST_CAS multi-sensor milling dataset","10.17632/8jk3kyxmbn.1","Mendeley / Zenodo / openICPSR","CC BY 4.0","green","forces X/Y/Z, spindle vibration, noise, 3-phase spindle current (U, V, W) at 50 kHz","1","phase current","setpoints as metadata","designed: 5,000-10,000 rpm × 800-1,600 mm/min × depth × width; 2 materials","50000","yes","0.03 (115 × 1 s)","0 (1 s samples)","0","115 samples","n.d.","XLSX","0.44","unseen","1","1","3","0","3","0","3","3","3","A","1.40","1.80","1.90","1.45","S30","paper","2026-09-16","50,000 points per sample = 1 s: no world-model window."
"R26","Li Y. 2021","2","NUAA-DMU","milling machine (n.d.; ""DMU"" appears only in a user comment)","n.d.","lab","milling","Tool wear dataset of NUAA_Ideahouse","10.21227/3aa1-5e83","IEEE DataPort (login)","CONFLICT: CC BY 4.0 (DataCite) vs ""copyright reserved"" (page)","amber","cutting force, vibration, spindle current and power, controller data","2","n.d.","controller data (n.d.)","sidewall (fixed) and closed pockets (continuously varying engagement)","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","tool wear","ZIP","0.13","unseen","1","1","2","1","1","3","1","2","2","P","1.20","1.10","1.35","1.85","S31","repository","2026-09-16","The licence conflict must be resolved with the authors before any use."
"R27","Pratap et al. 2024","2","Taiwan-DT-CNC","CNC machining centre (model n.d.)","n.d.","lab","milling (Kakino path)","Digital Twin for CNC Power Dataset","10.17632/4m9n7zzvwk.1","Mendeley Data","CC BY 4.0","green","power logs (small TXT per run; content n.d.) + NC program + video + virtual simulation","0","n.d.","designed setpoints","designed: 5 spindle speeds (S1920-S2450) × feeds × 5 depths (ap1-ap5)","n.d.","n.d.","n.d.","n.d.","n.d.","dozens of cut/aircut runs","power consumption","TXT, XLSX, video","0.10","unseen","1","1","3","1","2","2","3","2","3","A?","1.50","1.55","2.00","2.00","S32","repository","2026-09-16","Pairs of cut and aircut runs exist for each setpoint. Signal content needs the Readme (not downloaded)."
"R28","Anas uddin et al. 2024","2","Verona-PrintMill","CNC milling machine (model n.d.)","n.d.","lab","milling of 3D-printed parts","Print+Mill Dataset","10.5281/zenodo.12793026","Zenodo","CC BY 4.0","green","feed rate, spindle speed, G-code parameters, temperature, power; machine state-change logs","1","n.d.","feed, spindle speed","multi-material","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","workpiece images","CSV, PKL, images","n.d.","unseen","1","2","1","1","1","2","3","1","2","S?","1.50","1.40","1.55","1.80","S33","repository","2026-09-16","Work-in-progress dataset (ETFA 2024). Details unavailable while Zenodo is down."
"R29","Tapia Fernandez et al. 2024","2","CFAA-Ibarmia+GMTK","Ibarmia THR-16 and GMTK VR 2.4","n.d.","research centre (CFAA)","milling","Milling tests in 2 machining centres: energy consumption","10.5281/zenodo.14445879","Zenodo","CC BY 4.0","green","energy consumption records (details n.d.)","0","energy","n.d.","milling tests Jul-Nov 2023","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","energy","n.d.","n.d.","unseen","0","0","1","1","1","2","3","1","2","X","0.80","0.75","0.90","1.30","S34","repository","2026-09-16","Two more machine builders; content must be re-checked when Zenodo is back."
"R30","Tnani et al. 2022","2","Bosch-M01-M03","3 production machining centres (M01, M02, M03)","n.d.","industry (Bosch plant)","milling (15 operations)","Bosch CNC Machining dataset","github:boschresearch/CNC_Machining","GitHub (+ Kaggle CSV mirror)","BSD-3-Clause (repository)","green","tri-axial acceleration at 2 kHz","0","vibration","absent","production, 2018-2021","2000","segments","n.d.","n.d.","n.d.","3 machines × 15 operations","good / bad labels","HDF5","0.9 (repo) / 2.95 (CSV mirror)","unseen","0","0","1","1","2","2","3","3","3","X","1.10","1.20","0.90","1.45","S40","repository","2026-09-16","Three machines with an identical sensor: machine-shift in vibration space, no actions."
"R31","Agogino & Goebel 2007","2","NASA-MatsuuraMC510V","Matsuura MC-510V","n.d.","lab (UC Berkeley BEST)","milling","NASA PCoE Milling data set","nasa-pcoe:milling","NASA PCoE (S3)","no explicit licence (use at own risk, cite)","amber","AC and DC spindle motor current, table/spindle vibration, table/spindle AE","1","DC spindle current","setpoints as metadata","designed: DOC 1.5/0.75 mm × feed 413/206.5 mm/min × 2 materials","n.d. in sources read","n.d.","n.d.","n.d.","n.d.","16 cases","flank wear VB","MAT (zip)","n.d.","unseen","1","1","2","1","3","3","1","2","3","P","1.30","1.60","1.35","2.15","S41","paper + repository page","2026-09-16","Classic benchmark; per-run duration not confirmed in the sources read."
"R32","PHM Society 2010","2","PHM2010-RodersRFM760","Röders Tech RFM760","n.d.","lab","high-speed milling","PHM 2010 data challenge","ieee-dataport:2010-phm-society-conference-data-challenge","PHM Society / IEEE DataPort (subscription)","restricted / unclear","red","dynamometer, accelerometer, AE at 50 kHz","0","forces","constant (10,400 rpm, 1,555 mm/min)","constant parameters","50000","n.d.","n.d.","n.d.","n.d.","6 cutters × 315 cuts","flank wear","CSV","n.d.","unseen","0","0","0","1","1","3","0","2","1","—","0.50","0.55","0.10","1.20","S42","secondary","2026-09-16","No action diversity and paid access through IEEE DataPort."
