layer,api,query_id,query,hits_total,returned,date,note
"L1","zenodo","z07","Werkzeugmaschine","ERR","0","2026-09-16",""
"L1","zenodo","z08","""feed drive""","ERR","0","2026-09-16",""
"L1","zenodo","z09","lathe turning signals","ERR","0","2026-09-16",""
"L1","zenodo","z10","""tool wear"" milling","ERR","0","2026-09-16",""
"L1","datacite","r2-a","(""Industrial Edge"" OR ""SINUMERIK Edge"" OR ""Analyze MyWorkpiece"" OR NCU OR ""840D"") AND Dataset","201","100","2026-09-16","no new S/T candidate (saturation round 1)"
"L1","datacite","r2-b","(Heidenhain OR ""TNC 640"" OR iTNC OR Fanuc OR Okuma OR Mazak OR Haas OR Hurco) AND Dataset","9229","100","2026-09-16","no new S/T candidate (noisy query)"
"L1","datacite","r2-c","(""OPC UA"" OR umati) AND (machine OR milling OR CNC) AND Dataset","29","29","2026-09-16","causRCA already listed"
"L1","datacite","r2-d","(""axis current"" OR ""spindle current"" OR ""motor torque"" OR ""drive signals"" OR ""servo current"") AND Dataset","97","97","2026-09-16","no new S/T candidate"
"L1","datacite","r2-e","(""digital twin"" OR ""digital shadow"") AND (""machine tool"" OR CNC OR milling) AND Dataset","11","11","2026-09-16","no new S/T candidate (saturation round 2)"
"L1","datacite","snow-kit","publisher:""Karlsruhe Institute of Technology"" AND (milling OR Fräsen OR machine tool ...)","13","13","2026-09-16","5 KIT milling datasets added"
"L1","datacite","snow-luis","publisher:LUIS AND (milling OR turning OR machining ...)","87","87","2026-09-16","LUH turning datasets added"
"L1","datacite","snow-darus","publisher:DaRUS AND (""machine tool"" OR ""feed drive"" ...)","10","10","2026-09-16","ISW axis datasets added"
"L1","zenodo","z01-z10","10 keyword queries (CNC spindle, Sinumerik, MTConnect, ...)","ERR","0","2026-09-16","Zenodo search API returned HTTP 504 all day; Zenodo DOIs covered through DataCite"
"L1","figshare","q01-q10","plain-text versions of q01-q10","n/a","0","2026-09-16","AND semantics returned nothing relevant; figshare DOIs covered through DataCite"
"L1","crossref","mdpi-data","MDPI Data (ISSN 2306-5729): ""CNC machine tool dataset"", ""milling dataset spindle"", ""machining data set controller""","535/481/1508","120","2026-09-16","THWS 2024 and KIT 16MnCr5 papers"
"L4","portal","kamp","kamp-ai.kr","n/a","n/a","2026-09-16","HTTP 400 to scripts; registration required; redistribution restricted"
"L4","portal","nist-sms","smstestbed.nist.gov (TDP, VDS)","n/a","n/a","2026-09-16","no response (connection failed)"
"L4","portal","nasa-pcoe","NASA PCoE repository page","n/a","1","2026-09-16","milling set reachable (S3 zip)"
"L4","portal","ieee-dataport","NUAA_Ideahouse, PHM 2010 pages","n/a","2","2026-09-16","PHM 2010 behind subscription"
"L4","list","curated","nicolasj92/industrial-ml-datasets; jonathanwvd/awesome-industrial-datasets; makinarocks list","n/a","5","2026-09-16","no candidate absent from L1"
"L5","web","w01-w20","≈20 web searches (EN/KO), incl. site:kaggle.com","n/a","n/a","2026-09-16","Purdue MSM, Michigan, Bosch mirror; no new S/T candidate in the last round"
"L5","kaggle-api","k01","datasets/view for 5 slugs","n/a","5","2026-09-16","licences read (CC0, CC BY, CC BY-NC-SA); 1 slug denied (403)"
"L5","radar","kit-files","RADAR getFolderContent for 10.35097/1398","11","11","2026-09-16","file list read; downloads gated by RADAR terms (not accepted)"
"sample","mendeley","w35nf2fw5m","HTTP Range 0-2 MB of 10kW.json","n/a","1","2026-09-16","signal list verified (78 fields/row)"
"sample","figshare","28589216","FeatureAndMetadata_Milling.csv (1.8 MB, full file within the 2 MB approval)","n/a","1","2026-09-16","column names verified (per-cycle aggregates)"
